1,2,3,4,5,6,8,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328
P1_V298_0928,P1,V298,Pursat,Phnum Kravanh,Samraong,928,Yes,2-Sep-16,11.4,12.05,,,Completed,,,,,,,,,,,Leang Satry,2-Sep-16,Chhem Bunthy,2-Sep-16,Yes,,,,Vannak,11-Sep-16,Yes,Yes,2-Sep-16,6,1988,27,Buddhist,,Higher,,Married or living together,Higher,,4,2,2,1,"Surface water (river, dam, lake,",,Elsewhere,30,"Yes, always",Yes,0,0,Yes,0,Yes,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to pit latri,,Observed,Yes,,,0,,Put /rinsed into toilet or latri,,No,Yes,0,Yes,Yes,0,0,0,0,0,0,Wood,,Parquet or polished wood,,Calamine / cement fiber,,Wood planks / shingles,,0,0,Yes,Yes,0,0,0,0,0
P2_V234_1166,P2,V234,Battambang,Rukh Kiri,Prey Tralach,1166,Yes,5-Sep-16,15.24,16.08,,,Completed,,,,,,,,,,,Chhoeun Ratana,5-Sep-16,Chhorn Chanthy,6-Sep-16,Yes,,,,Vannak,19-Nov-16,Yes,Yes,5-Sep-16,9,1980,36,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,5,3,2,1,Tanker truck,,In own dwelling,,"Yes, sometimes",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,No,0,0,0,Yes,0,0,0,0,0,Yes,Wood,,Wood planks,,Metal,,Metal,,0,0,Yes,0,0,0,0,0,0
P2_V232_1177,P2,V232,Battambang,Rukh Kiri,Prey Tralach,1177,Yes,5-Sep-16,11.59,12.35,,,Completed,,,,,,,,,,,Chhay Leangchheng,5-Sep-16,Chhorn Chanthy,6-Sep-16,Yes,,,,Vannak,22-Sep-16,Yes,Yes,5-Sep-16,5,1983,35,Buddhist,,Never attended school,,Married or living together,Lower Secondary (7-9),,4,2,2,1,Rainwater,,In own dwelling,,No,0,0,0,0,0,0,0,0,,,"Observed, mobile",Water is available,None,No facility / bush / field,,,,,,0,,Other,WASHING,No,Yes,0,0,Yes,0,0,0,0,0,0,Charcoal,,Parquet or polished wood,,Metal,,Wood planks / shingles,,0,0,Yes,0,0,0,0,0,0
P1_V300_0975,P1,V300,Pursat,Phnum Kravanh,Samraong,975,Yes,2-Sep-16,14.18,14.4,,,Completed,,,,,,,,,,,Soth Soty,2-Sep-16,Chhem Bunthy,2-Sep-16,Yes,Oy Sreymom,7-Sep-16,Yes,Vannak,9-Sep-16,Yes,Yes,2-Sep-16,88,1984,32,Buddhist,,Primary (1 – 6),,Married or living together,Lower Secondary (7-9),,5,3,2,1,"Surface water (river, dam, lake,",,Elsewhere,20,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,No,0,0,0,Yes,0,0,0,0,0,0,Wood,,Wood planks,,Metal,,Reused wood,,0,0,0,Yes,0,0,0,0,0
P2_V43_1515,P2,V43,Battambang,Koas Krala,Chhnal Moan,1515,Yes,7-Sep-16,11.1,11.35,,,Completed,,,,,,,,,,,Phang Pinan,7-Sep-16,Chhor Lyda,9-Sep-16,Yes,Oy Sreymom,10-Sep-16,Yes,Socheat,8-Oct-16,Yes,Yes,7-Sep-16,5,1993,23,Buddhist,,Primary (1 – 6),,Married or living together,Never attended school,,7,4,3,1,"Surface water (river, dam, lake,",,Elsewhere,10,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is not available,None,No facility / bush / field,,,,,,0,,Buried,,"Yes, not observed card",0,0,0,0,0,0,0,0,0,Yes,Wood,,Parquet or polished wood,,Metal,,Palm / bamboo / thatch,,0,0,Yes,0,0,0,0,0,0
P1_V291_1322,P1,V291,Pursat,Phnum Kravanh,Samraong,1322,Yes,2-Sep-16,11.2,11.5,,,Completed,,,,,,,,,,,Chea Sophana,2-Sep-16,Chhor Lyda,5-Sep-16,Yes,,,,Socheat,9-Sep-16,Yes,Yes,2-Sep-16,7,1981,35,Buddhist,,Never attended school,,Married or living together,Primary (1 - 6),,4,2,2,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,Yes,0,0,,No,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Other,THROWN INTO BUSH,No,Yes,0,0,Yes,0,0,0,0,0,0,Wood,,Cement,,Metal,,Wood planks / shingles,,0,0,Yes,Yes,0,0,0,Yes,Yes
P2_V233_1191,P2,V233,Battambang,Rukh Kiri,Prey Tralach,1191,Yes,5-Sep-16,11.25,11.44,,,Completed,,,,,,,,,,,Khat Srey Chen,5-Sep-16,Chhorn Chanthy,6-Sep-16,Yes,,,,Vannak,15-Sep-16,Yes,Yes,5-Sep-16,6,1990,23,Buddhist,,Primary (1 – 6),,Married or living together,Lower Secondary (7-9),,3,1,2,1,Rainwater,,In own dwelling,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Left in the open,,"Yes, observed card",0,0,0,Yes,0,0,0,0,0,Yes,Wood,,Wood planks,,Metal,,Wood planks / shingles,,1,0,0,Yes,0,Yes,0,0,0
P3_V301_4597,P3,V301,Siem Reap,Chi Kraeng,Sangvaeuy,4597,Yes,22-Sep-16,13.33,13.51,,,Completed,,,,,,,,,,,Sot Chakriya,22-Sep-16,Chhem Bunthy,22-Sep-16,Yes,Oy Sreymom,28-Sep-16,Yes,Vannak,8-Oct-16,Yes,Yes,22-Sep-16,9,1995,21,Buddhist,,Upper Secondary (10–12),,Married or living together,Upper Secondary (10-12),,8,2,6,1,Tube well or borehole,,In own yard/plot,,"Yes, always",0,0,0,Yes,0,0,0,0,,No,"Observed, mobile",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Put /rinsed into toilet or latri,,No,Yes,0,Yes,Yes,0,0,Yes,0,Yes,0,Wood,,Parquet or polished wood,,Clay tiles,,Wood planks / shingles,,1,0,Yes,Yes,0,0,Yes,0,0
P1_V297_0932,P1,V297,Pursat,Phnum Kravanh,Samraong,932,Yes,2-Sep-16,14.45,14.15,,,Completed,,,,,,,,,,,Treng Sokea,2-Sep-16,Chhem Bunthy,2-Sep-16,Yes,Oy Sreymom,7-Sep-16,Yes,Vannak,9-Sep-16,Yes,Yes,2-Sep-16,10,1988,28,Buddhist,,Upper Secondary (10–12),,Married or living together,Upper Secondary (10-12),,5,2,3,1,Rainwater,,In own dwelling,,"Yes, always",Yes,0,0,Yes,0,0,0,0,,No,"Observed, mobile",Water is available,None,Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,No,Yes,0,Yes,Yes,0,0,0,Yes,Yes,0,Wood,,Parquet or polished wood,,Clay tiles,,Wood planks / shingles,,0,0,0,Yes,0,Yes,0,0,0
P1_V296_0967,P1,V296,Pursat,Phnum Kravanh,Samraong,967,Yes,2-Sep-16,13.3,13.55,,,Completed,,,,,,,,,,,Neur Chanda,2-Sep-16,Chhem Bunthy,2-Sep-16,Yes,,,,Vannak,9-Sep-16,Yes,Yes,2-Sep-16,8,1993,23,Buddhist,,Primary (1 – 6),,Married or living together,Upper Secondary (10-12),,7,1,6,1,"Surface water (river, dam, lake,",,Elsewhere,60,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,No,0,0,Yes,Yes,0,0,0,0,0,Yes,Wood,,Parquet or polished wood,,Calamine / cement fiber,,Wood planks / shingles,,0,0,0,Yes,0,0,0,Yes,0
P2_V314_2549,P2,V314,Battambang,Rotonak Mondol,Sdau,2549,Yes,10-Sep-16,12.3,13,,,Completed,,,,,,,,,,,Lmot Samkol,10-Sep-16,Ong Seyha,10-Sep-16,Yes,Oy Sreymom,11-Sep-16,Yes,Socheat,8-Oct-16,Yes,Yes,10-Sep-16,8,1989,27,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,7,4,3,1,Unprotected spring,,In own yard/plot,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Other,USE CHILD UNDER WEAR,"Yes, observed card",0,0,0,0,0,0,0,0,0,Yes,Wood,,Parquet or polished wood,,Metal,,Other,PLASTIC,0,0,0,0,0,0,0,0,0
P2_V395_2095,P2,V395,Battambang,Kamrieng,Ta Krei,2095,Yes,8-Sep-16,14,14.2,,,Completed,,,,,,,,,,,Rith Socheat,8-Sep-16,Ong Seyha,8-Sep-16,Yes,,,,Socheat,17-Sep-16,Yes,Yes,8-Sep-16,4,1989,27,Buddhist,,Lower Secondary (7–9),,Married or living together,Lower Secondary (7-9),,4,2,2,1,Rainwater,,In own yard/plot,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,"Yes, not observed card",Yes,0,Yes,Yes,0,0,0,0,0,0,Wood,,Cement,,Metal,,Wood planks / shingles,,1,0,Yes,Yes,0,0,0,0,0
P2_V314_2550,P2,V314,Battambang,Rotonak Mondol,Sdau,2550,Yes,10-Sep-16,10.1,10.35,,,Completed,,,,,,,,,,,Lmot Samkol,10-Sep-16,Ong Seyha,10-Sep-16,Yes,,,,Socheat,24-Sep-16,Yes,Yes,10-Sep-16,12,1992,24,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,Rainwater,,In own yard/plot,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,No,Yes,0,Yes,Yes,0,0,0,0,Yes,0,Wood,,Parquet or polished wood,,Metal,,Metal,,0,0,0,Yes,0,0,0,0,0
P2_V442_3100,P2,V442,Battambang,Sangkae,Ta Pon,3100,Yes,10-Sep-16,16.32,16.59,,,Completed,,,,,,,,,,,Och La,10-Sep-16,Chhorn Chanthy,11-Sep-16,Yes,,,,Socheat,23-Sep-16,Yes,Yes,10-Sep-16,2,1985,31,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,5,3,2,1,Bottled water,,Elsewhere,10,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Use another household’s latrine,,,,,,0,,Buried,,"Yes, not observed card",Yes,0,Yes,Yes,0,0,Yes,Yes,0,0,Charcoal,,Cement,,Metal,,Metal,,1,0,0,Yes,0,0,0,0,0
P2_V312_2534,P2,V312,Battambang,Rotonak Mondol,Sdau,2534,Yes,10-Sep-16,15.34,15.53,,,Completed,,,,,,,,,,,Sroy Theary,10-Sep-16,Ong Seyha,10-Sep-16,Yes,Oy Sreymom,11-Sep-16,Yes,Socheat,8-Oct-16,Yes,Yes,10-Sep-16,4,1993,25,Buddhist,,Lower Secondary (7–9),,Married or living together,Lower Secondary (7-9),,8,2,6,2,Rainwater,,In own yard/plot,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Other,WASHING,No,Yes,Yes,Yes,Yes,0,0,0,Yes,0,0,Wood,,Parquet or polished wood,,Metal,,Wood planks / shingles,,1,Yes,0,Yes,0,0,0,0,0
P1_V296_0951,P1,V296,Pursat,Phnum Kravanh,Samraong,951,Yes,2-Sep-16,12.53,13.1,,,Completed,,,,,,,,,,,Cheat Chansolinda,2-Sep-16,Chhem Bunthy,2-Sep-16,Yes,,,,Vannak,9-Sep-16,Yes,Yes,2-Sep-16,1,1994,22,Buddhist,,Lower Secondary (7–9),,Married or living together,Upper Secondary (10-12),,5,3,2,1,Protected spring,,In own yard/plot,,"Yes, sometimes",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Buried,,No,0,Yes,0,Yes,0,0,0,0,Yes,Yes,Wood,,Earth / Sand / Clay,,Metal,,Wood planks / shingles,,0,0,0,Yes,0,0,0,0,0
P2_V462_1775,P2,V462,Battambang,Koas Krala,Thipakdei,1775,Yes,7-Sep-16,9.32,9.51,,,Completed,,,,,,,,,,,Soth Soty,7-Sep-16,Chhem Bunthy,7-Sep-16,Yes,Oy Sreymom,10-Sep-16,Yes,Socheat,16-Sep-16,Yes,Yes,7-Sep-16,6,1987,30,Buddhist,,Lower Secondary (7–9),,Married or living together,Upper Secondary (10-12),,7,3,4,1,Unprotected dug well,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to pit latri,,Observed,Yes,,1775,0,,Put /rinsed into toilet or latri,,No,Yes,Yes,Yes,Yes,0,0,Yes,Yes,Yes,0,Wood,,Wood planks,,Metal,,Wood planks / shingles,,1,0,Yes,Yes,0,Yes,0,0,0
P1_V300_0974,P1,V300,Pursat,Phnum Kravanh,Samraong,974,Yes,2-Sep-16,12.4,13.15,,,Completed,,,,,,,,,,,Soth Soty,2-Sep-16,Chhem Bunthy,2-Sep-16,Yes,,,,Vannak,9-Sep-16,Yes,Yes,2-Sep-16,3,1983,33,Buddhist,,Primary (1 – 6),,Married or living together,Upper Secondary (10-12),,7,2,5,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to pit latri,,Not Observed,No,NOT PERMISSION,,0,,Put /rinsed into toilet or latri,,No,0,Yes,Yes,Yes,0,0,Yes,0,Yes,Yes,LPG,,Ceramic tiles,,Calamine / cement fiber,,Wood planks / shingles,,3,0,Yes,Yes,Yes,0,0,0,0
P2_V205_1975,P2,V205,Battambang,Koas Krala,Preah Phos,1975,Yes,9-Sep-16,12.45,13.15,,,Completed,,,,,,,,,,,Och La,9-Sep-16,Chhorn Chanthy,10-Sep-16,Yes,,,,Vannak,17-Sep-16,Yes,Yes,9-Sep-16,9,1991,25,Buddhist,,Never attended school,,Married or living together,Never attended school,,5,2,3,2,Tanker truck,,In own dwelling,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Buried,,No,0,0,0,Yes,0,0,0,0,0,Yes,Wood,,Parquet or polished wood,,Bamboo / thatch / palm leaf,,Palm / bamboo / thatch,,0,0,0,0,0,0,0,0,0
P2_V32_1948,P2,V32,Battambang,Sangkae,Ta Pon,1948,Yes,10-Sep-16,13.26,13.5,,,Completed,,,,,,,,,,,Chhoeun Ratana,10-Sep-16,Chhorn Chanthy,11-Sep-16,Yes,,,,Socheat,23-Sep-16,Yes,Yes,10-Sep-16,4,1970,49,Buddhist,,Lower Secondary (7–9),,Married or living together,Primary (1 - 6),,9,4,5,1,Rainwater,,In own dwelling,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Thrown into garbage,,No,Yes,0,Yes,Yes,0,0,0,0,0,0,Wood,,Wood planks,,Metal,,Metal,,0,0,Yes,0,0,0,0,0,0
P2_V450_2648,P2,V450,Battambang,Thma Koul,Ta Pung,2648,Yes,13-Sep-16,10.46,11.07,,,Completed,,,,,,,,,,,Keo Chandararoth,13-Sep-16,Ong Seyha,13-Sep-16,Yes,,,,Vannak,24-Sep-16,Yes,Yes,13-Sep-16,12,1998,19,Buddhist,,Upper Secondary (10–12),,Married or living together,Upper Secondary (10-12),,4,1,3,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Put /rinsed into toilet or latri,,No,Yes,Yes,Yes,Yes,0,Yes,Yes,0,Yes,0,Charcoal,,Ceramic tiles,,Metal,,Wood planks / shingles,,1,0,Yes,Yes,0,0,Yes,0,0
P2_V201_1964,P2,V201,Battambang,Koas Krala,Preah Phos,1964,Yes,9-Sep-16,13.12,13.37,,,Completed,,,,,,,,,,,Khat Srey Chen,9-Sep-16,Chhorn Chanthy,10-Sep-16,Yes,Oy Sreymom,11-Sep-16,Yes,Vannak,18-Sep-16,Yes,Yes,9-Sep-16,3,1983,33,Buddhist,,Primary (1 – 6),,Married or living together,Lower Secondary (7-9),,5,3,2,1,Bottled water,,Elsewhere,10,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,"Yes, observed card",0,0,0,Yes,0,0,0,0,0,Yes,Charcoal,,Wood planks,,Metal,,Palm / bamboo / thatch,,0,Yes,Yes,Yes,0,0,0,0,0
P3_V305_4292,P3,V305,Siem Reap,Chi Kraeng,Sangvaeuy,4292,Yes,26-Sep-16,17.27,17.4,,,Completed,,,,,,,,,,,Chhoeun Ratana,26-Sep-16,Chhorn Chanthy,27-Sep-16,Yes,,,,Vannak,13-Oct-16,Yes,Yes,26-Sep-16,4,1981,34,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,6,4,2,1,Rainwater,,In own yard/plot,,"Yes, sometimes",Yes,0,0,0,0,Yes,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,Yes,1,Other,WASHING,"Yes, observed card",0,0,0,Yes,0,0,0,0,0,Yes,Wood,,Palm / bamboo,,Bamboo / thatch / palm leaf,,Palm / bamboo / thatch,,0,0,0,Yes,0,0,0,0,Yes
P2_V198_2205,P2,V198,Battambang,Koas Krala,Preah Phos,2205,Yes,9-Sep-16,11.44,12.14,,,Completed,,,,,,,,,,,Am Sarath,9-Sep-16,Chhem Bunthy,9-Sep-16,Yes,,,,Vannak,22-Sep-16,Yes,Yes,9-Sep-16,4,1994,21,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,Yes,PURFIER OF WATER,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,No,0,0,0,Yes,0,0,0,0,0,0,Wood,,Wood planks,,Metal,,Metal,,0,0,0,Yes,0,0,Yes,0,0
P2_V449_2614,P2,V449,Battambang,Thma Koul,Ta Pung,2614,Yes,12-Sep-16,11.27,11.5,,,Completed,,,,,,,,,,,Keo Chandararoth,12-Sep-16,Ong Seyha,12-Sep-16,Yes,,,,Vannak,9-Oct-16,Yes,Yes,12-Sep-16,2,1979,39,Buddhist,,Never attended school,,Married or living together,Primary (1 - 6),,6,4,2,1,Tube well or borehole,,In own yard/plot,,"Yes, sometimes",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Put /rinsed into toilet or latri,,"Yes, expired card",Yes,0,Yes,Yes,0,0,Yes,0,0,0,Wood,,Parquet or polished wood,,Metal,,Wood planks / shingles,,0,0,Yes,Yes,0,0,0,0,0
P3_V304_4615,P3,V304,Siem Reap,Chi Kraeng,Sangvaeuy,4615,Yes,22-Sep-16,10.58,11.25,,,Completed,,,,,,,,,,,Soth Soty,22-Sep-16,Chhem Bunthy,22-Sep-16,Yes,,,,Vannak,13-Oct-16,Yes,Yes,22-Sep-16,1,1990,26,Buddhist,,Primary (1 – 6),,Married or living together,Never attended school,,5,2,3,2,Unprotected dug well,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Put /rinsed into toilet or latri,,"Yes, observed card",Yes,0,Yes,Yes,0,0,Yes,0,0,0,Wood,,Wood planks,,Metal,,Palm / bamboo / thatch,,1,0,0,0,0,0,0,0,0
P2_V315_2554,P2,V315,Battambang,Rotonak Mondol,Sdau,2554,Yes,10-Sep-16,11.58,12.3,,,Completed,,,,,,,,,,,Am Sa Em,10-Sep-16,Ong Seyha,10-Sep-16,Yes,Oy Sreymom,11-Sep-16,Yes,Socheat,9-Oct-16,Yes,Yes,10-Sep-16,12,1986,31,Christian,,Primary (1 – 6),,Married or living together,Lower Secondary (7-9),,4,2,2,1,"Surface water (river, dam, lake,",,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, mobile",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,"2554-34-1, 2554-34-2",0,,Buried,,No,Yes,0,Yes,Yes,0,0,0,0,Yes,0,Wood,,Cement,,Metal,,Wood planks / shingles,,0,0,Yes,Yes,0,0,Yes,0,0
P2_V106_1754,P2,V106,Battambang,Koas Krala,Thipakdei,1754,Yes,7-Sep-16,9.41,10.13,,,Completed,,,,,,,,,,,Sot Chakriya,7-Sep-16,Chhem Bunthy,7-Sep-16,Yes,,,,Socheat,15-Sep-16,Yes,Yes,7-Sep-16,6,1953,65,Buddhist,,Upper Secondary (10–12),,Widow,,,4,2,2,1,Piped to yard or plot,,In own dwelling,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is not available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,"Yes, observed card",0,Yes,0,Yes,0,0,0,0,0,0,Wood,,Parquet or polished wood,,Metal,,Metal,,1,0,0,0,0,0,0,0,0
P2_V246_1250,P2,V246,Battambang,Moung Ruessei,Robas Mongkol,1250,Yes,6-Sep-16,10.35,10.55,,,Completed,,,,,,,,,,,Khat Srey Chen,6-Sep-16,Chhorn Chanthy,7-Sep-16,Yes,,,,Socheat,14-Sep-16,Yes,Yes,6-Sep-16,8,1990,27,Buddhist,,Lower Secondary (7–9),,Married or living together,Upper Secondary (10-12),,10,3,7,1,Rainwater,,In own dwelling,,"Yes, always",0,0,0,Yes,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,"Yes, observed card",Yes,0,Yes,Yes,0,0,0,Yes,Yes,0,Charcoal,,Cement,,Calamine / cement fiber,,Wood planks / shingles,,0,0,Yes,Yes,0,0,Yes,0,0
P2_V316_2271,P2,V316,Battambang,Rotonak Mondol,Sdau,2271,Yes,10-Sep-16,13,13.18,,,Completed,,,,,,,,,,,Neur Chanda,10-Sep-16,Chhem Bunthy,10-Sep-16,Yes,,,,Socheat,20-Sep-16,Yes,Yes,10-Sep-16,6,1986,30,Buddhist,,Upper Secondary (10–12),,Married or living together,Higher,,5,3,2,1,Bottled water,,Elsewhere,5,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to piped sew,,Observed,Yes,,2271,Yes,1,Thrown into garbage,,No,Yes,0,Yes,Yes,0,Yes,Yes,0,Yes,0,LPG,,Cement tiles,,Metal,,Cement blocks,,2,0,Yes,0,0,0,Yes,0,0
P2_V244_1236,P2,V244,Battambang,Moung Ruessei,Robas Mongkol,1236,Yes,6-Sep-16,13,13.24,,,Completed,,,,,,,,,,,Chan Sreymom,6-Sep-16,Chhorn Chanthy,7-Sep-16,Yes,,,,Socheat,14-Sep-16,Yes,Yes,6-Sep-16,88,1997,19,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,6,1,5,1,Tanker truck,,In own yard/plot,,"Yes, sometimes",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Other,THROWN INTO BUSH,No,0,Yes,0,Yes,0,0,Yes,0,0,Yes,Wood,,Wood planks,,Metal,,Reused wood,,2,0,Yes,Yes,0,0,Yes,0,0
P2_V249_2001,P2,V249,Battambang,Moung Ruessei,Robas Mongkol,2001,Yes,6-Sep-16,12.15,12.37,,,Completed,,,,,,,,,,,It Ponnrith,6-Sep-16,Ong Seyha,6-Sep-16,Yes,Oy Sreymom,7-Sep-16,Yes,Socheat,9-Oct-16,Yes,Yes,6-Sep-16,8,2000,18,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,5,4,1,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,"Yes, not observed card",Yes,0,Yes,Yes,0,0,0,0,0,0,Wood,,Parquet or polished wood,,Metal,,Metal,,0,0,Yes,0,0,0,0,0,0
P2_V445_2622,P2,V445,Battambang,Thma Koul,Ta Pung,2622,Yes,12-Sep-16,10.35,11.05,,,Completed,,,,,,,,,,,Nhoueng Sovann,12-Sep-16,Ong Seyha,12-Sep-16,Yes,,,,Vannak,23-Sep-16,Yes,Yes,12-Sep-16,8,1983,33,Buddhist,,Primary (1 – 6),,Married or living together,Upper Secondary (10-12),,4,3,1,1,"Surface water (river, dam, lake,",,Elsewhere,10,"Yes, always",Yes,0,0,Yes,0,0,0,0,,No,"Observed, mobile",Water is not available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,No,Yes,0,Yes,0,0,0,0,0,0,0,Wood,,Cement,,Metal,,Metal,,0,0,0,0,0,0,0,0,0
P2_V462_1776,P2,V462,Battambang,Koas Krala,Thipakdei,1776,Yes,7-Sep-16,10.3,10.5,,,Completed,,,,,,,,,,,Soth Soty,7-Sep-16,Chhem Bunthy,7-Sep-16,Yes,,,,Socheat,16-Sep-16,Yes,Yes,7-Sep-16,9,1981,35,Buddhist,,Primary (1 – 6),,Married or living together,Don't know,,6,4,2,1,Bottled water,,Elsewhere,2,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,Flush or pour flush to pit latri,,Observed,Yes,,1776,0,,Put /rinsed into toilet or latri,,No,Yes,0,Yes,Yes,0,0,Yes,0,0,0,Charcoal,,Cement,,Metal,,Wood planks / shingles,,1,0,Yes,0,0,0,0,0,0
P2_V446_2599,P2,V446,Battambang,Thma Koul,Ta Pung,2599,Yes,12-Sep-16,10.22,10.42,,,Completed,,,,,,,,,,,It Ponnrith,12-Sep-16,Ong Seyha,12-Sep-16,Yes,,,,Vannak,9-Oct-16,Yes,Yes,12-Sep-16,3,1971,46,Buddhist,,Lower Secondary (7–9),,Married or living together,Lower Secondary (7-9),,8,4,4,1,Rainwater,,In own yard/plot,,"Yes, always",0,0,0,Yes,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,NO CHILD,No,Yes,0,Yes,Yes,0,Yes,Yes,0,Yes,0,Charcoal,,Ceramic tiles,,Metal,,Cement blocks,,3,0,Yes,Yes,0,0,Yes,0,0
